City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Puerto Ayora,EC,2020-11-29 21:24:50,-0.74,-90.35,75.2,78,75,10.29
166,Juneau,US,2020-11-29 21:24:09,58.3,-134.42,39.2,86,90,12.75
167,Voh,NC,2020-11-29 21:24:51,-20.97,164.7,79.59,50,0,3.76
168,Plettenberg Bay,ZA,2020-11-29 21:24:51,-34.05,23.37,59.79,73,0,3.38
169,Tautira,PF,2020-11-29 21:24:52,-17.73,-149.15,86.0,70,20,17.22
170,Meybod,IR,2020-11-29 21:24:52,32.25,54.02,46.4,87,0,4.7
171,Am Timan,TD,2020-11-29 21:24:52,11.03,20.28,76.05,26,21,4.83
172,Ahuimanu,US,2020-11-29 21:24:53,21.44,-157.84,82.4,65,75,11.41
173,Lazaro Cardenas,MX,2020-11-29 21:24:53,17.96,-102.2,82.27,69,1,7.9
174,Bima,ID,2020-11-29 21:24:54,-8.47,118.72,77.81,84,45,2.93
175,Muros,ES,2020-11-29 21:24:54,42.78,-9.06,51.01,91,100,6.85
176,Yamada,JP,2020-11-29 21:24:55,39.47,141.95,39.18,74,67,4.32
177,Thompson,CA,2020-11-29 21:24:55,55.74,-97.86,8.6,71,20,4.7
178,Dalrymple,GB,2020-11-29 21:24:55,55.4,-4.59,48.2,93,40,5.82
179,Beringovskiy,RU,2020-11-29 21:24:56,63.05,179.32,3.69,92,8,13.38
180,Kudahuvadhoo,MV,2020-11-29 21:24:57,2.67,72.89,81.81,66,1,7.31
181,Houma,US,2020-11-29 21:21:24,29.6,-90.72,63.0,93,90,10.29
182,Plovdiv,BG,2020-11-29 21:24:57,42.15,24.75,44.6,70,90,4.7
183,Jiaozuo,CN,2020-11-29 21:24:58,35.24,113.23,35.74,78,5,2.3
184,Pochutla,MX,2020-11-29 21:24:58,15.74,-96.47,84.2,70,75,5.84
185,East London,ZA,2020-11-29 21:24:58,-33.02,27.91,65.14,76,15,7.7
186,Jizan,SA,2020-11-29 21:24:59,17.33,42.67,80.6,78,20,3.36
187,Beaune,FR,2020-11-29 21:24:59,47.08,4.75,37.4,74,90,10.29
188,Stanger,ZA,2020-11-29 21:25:00,-29.33,31.29,66.2,82,0,1.12
189,Surt,LY,2020-11-29 21:25:00,31.21,16.59,65.46,41,0,15.28
190,Svarstad,NO,2020-11-29 21:25:00,59.4,9.97,28.99,100,90,2.24
191,Berdigestyakh,RU,2020-11-29 21:25:01,62.1,126.7,-7.49,90,100,5.77
192,Grindavik,IS,2020-11-29 21:25:01,63.84,-22.43,32.0,83,75,12.75
193,Mayo,US,2020-11-29 21:25:04,38.89,-76.51,54.0,57,1,4.7
194,Carupano,VE,2020-11-29 21:25:05,10.67,-63.26,81.48,80,33,11.1
195,Yar-Sale,RU,2020-11-29 21:25:05,66.83,70.83,19.15,95,100,22.32
196,Bethel,US,2020-11-29 21:25:05,41.37,-73.41,51.8,27,1,6.93
197,Parabel,RU,2020-11-29 21:25:06,58.7,81.48,0.23,93,32,5.59
198,Troitsko-Pechorsk,RU,2020-11-29 21:25:06,62.71,56.2,6.67,95,8,6.06
199,Broome,US,2020-11-29 21:25:06,42.25,-75.83,46.99,45,1,4.7
200,Kedrovyy,RU,2020-11-29 21:25:07,56.17,91.82,-9.4,76,61,3.22
201,Faanui,PF,2020-11-29 21:25:07,-16.48,-151.75,81.34,75,0,8.1
202,Mandera,KE,2020-11-29 21:25:07,3.94,41.87,87.26,40,31,6.13
203,Kalashnikovo,RU,2020-11-29 21:25:08,57.28,35.23,36.23,96,100,12.68
204,Mehamn,NO,2020-11-29 21:25:08,71.04,27.85,37.4,69,0,24.16
205,Altamira,BR,2020-11-29 21:25:09,-3.2,-52.21,78.8,94,0,3.36
206,Bambous Virieux,MU,2020-11-29 21:25:09,-20.34,57.76,75.2,88,75,6.93
207,Sao Filipe,CV,2020-11-29 21:25:09,14.9,-24.5,74.66,66,99,10.85
208,San Rafael,AR,2020-11-29 21:25:10,-34.62,-68.33,77.67,25,0,14.2
209,Itacare,BR,2020-11-29 21:25:10,-14.28,-39.0,78.8,78,75,4.7
210,Taoudenni,ML,2020-11-29 21:25:10,22.68,-3.98,70.2,23,100,6.8
211,Kalmunai,LK,2020-11-29 21:25:11,7.42,81.82,78.08,86,98,5.53
212,Batagay,RU,2020-11-29 21:25:11,67.63,134.63,-22.77,84,81,4.92
213,Saint George,US,2020-11-29 21:21:41,37.1,-113.58,57.0,23,1,1.9
214,Yantai,CN,2020-11-29 21:25:12,37.53,121.4,37.22,74,66,7.54
215,Kaitangata,NZ,2020-11-29 21:25:13,-46.28,169.85,54.0,91,100,4.0
216,Alyangula,AU,2020-11-29 21:25:13,-13.85,136.42,78.8,94,61,1.12
217,Miguel Pereira,BR,2020-11-29 21:25:13,-22.45,-43.47,93.2,55,20,11.41
218,Pangnirtung,CA,2020-11-29 21:25:14,66.15,-65.71,8.6,84,90,5.82
219,Westport,US,2020-11-29 21:25:14,41.14,-73.36,51.8,40,1,5.82
220,Arlit,NE,2020-11-29 21:25:14,18.74,7.39,80.08,16,0,7.7
221,College,US,2020-11-29 21:25:15,64.86,-147.8,8.01,77,40,1.63
222,Omboue,GA,2020-11-29 21:25:15,-1.57,9.26,77.04,91,100,3.85
223,Ambilobe,MG,2020-11-29 21:25:16,-13.2,49.05,75.43,82,37,3.0
224,San Juan,AR,2020-11-29 21:25:16,-31.54,-68.54,82.9,28,0,24.2
225,Lata,PT,2020-11-29 21:25:16,40.16,-8.33,55.0,88,44,5.26
226,Eyl,SO,2020-11-29 21:25:17,7.98,49.82,77.72,77,4,18.1
227,Kodiak,US,2020-11-29 21:23:50,57.79,-152.41,33.8,69,90,5.97
228,Petropavlovsk-Kamchatskiy,RU,2020-11-29 21:23:09,53.05,158.65,19.4,92,90,6.71
229,Caravelas,BR,2020-11-29 21:25:18,-17.71,-39.25,75.52,80,92,6.69
230,Arraial Do Cabo,BR,2020-11-29 21:25:19,-22.97,-42.03,77.0,78,0,19.46
231,Carnarvon,AU,2020-11-29 21:25:19,-24.87,113.63,68.0,72,40,23.04
232,Rocha,UY,2020-11-29 21:25:19,-34.48,-54.33,76.68,63,0,8.32
233,Belaya Gora,RU,2020-11-29 21:25:20,68.53,146.42,-16.83,86,88,7.67
234,Eydhafushi,MV,2020-11-29 21:25:20,5.1,73.07,82.54,72,55,9.22
235,Champerico,GT,2020-11-29 21:25:21,14.3,-91.92,89.6,59,20,9.17
236,Ulladulla,AU,2020-11-29 21:25:21,-35.35,150.47,64.0,77,75,5.82
237,Tulun,RU,2020-11-29 21:25:21,54.56,100.58,13.05,93,100,5.19
238,Yulara,AU,2020-11-29 21:25:22,-25.24,130.99,86.0,25,96,16.11
239,Tuatapere,NZ,2020-11-29 21:25:22,-46.13,167.68,53.01,93,100,7.0
240,Store Heddinge,DK,2020-11-29 21:25:22,55.31,12.39,32.0,87,48,1.12
241,Warmbad,NA,2020-11-29 21:25:22,-28.45,18.73,70.88,31,0,11.54
242,Olinda,BR,2020-11-29 21:20:34,-8.01,-34.86,78.8,61,40,10.29
243,Grand-Santi,GF,2020-11-29 21:25:23,4.25,-54.38,76.41,93,85,3.29
244,Chimoio,MZ,2020-11-29 21:25:23,-19.12,33.48,75.2,100,75,5.82
245,Koungou,YT,2020-11-29 21:25:23,-12.73,45.2,77.0,88,0,2.24
246,Dudinka,RU,2020-11-29 21:25:24,69.41,86.18,6.8,84,90,26.84
247,Hamilton,US,2020-11-29 21:23:23,39.18,-84.53,53.6,46,1,3.06
248,Vega De Alatorre,MX,2020-11-29 21:25:25,20.03,-96.63,79.14,74,63,3.47
249,Riberalta,BO,2020-11-29 21:25:25,-10.98,-66.1,86.0,70,40,13.87
250,Sterling,US,2020-11-29 21:25:26,39.01,-77.43,55.4,43,75,5.82
251,Cidreira,BR,2020-11-29 21:25:26,-30.18,-50.21,81.19,73,0,1.68
252,Puerto Del Rosario,ES,2020-11-29 21:25:27,28.5,-13.86,62.6,88,40,2.24
253,Talas,TR,2020-11-29 21:25:27,38.69,35.55,26.6,73,0,3.15
254,Inverness,GB,2020-11-29 21:25:27,57.48,-4.22,46.4,81,91,16.11
255,Gravdal,NO,2020-11-29 21:25:27,68.12,13.5,44.6,87,75,23.04
256,Bengkulu,ID,2020-11-29 21:25:28,-3.8,102.27,74.46,84,100,2.39
257,Dawei,MM,2020-11-29 21:25:29,14.08,98.2,76.03,68,98,6.89
258,Praia,CV,2020-11-29 21:25:29,14.92,-23.51,73.4,69,40,11.41
259,Berekum,GH,2020-11-29 21:25:29,7.45,-2.58,74.19,86,26,3.71
260,Mount Gambier,AU,2020-11-29 21:25:30,-37.83,140.77,51.8,93,98,4.7
261,Paamiut,GL,2020-11-29 21:25:30,61.99,-49.67,27.61,85,8,11.74
262,Gladstone,AU,2020-11-29 21:25:30,-23.85,151.25,78.8,61,0,9.17
263,Hovd,MN,2020-11-29 21:25:31,48.01,91.64,12.76,90,100,1.14
264,Kaduqli,SD,2020-11-29 21:25:31,11.02,29.72,70.36,21,0,8.63
265,Geraldton,AU,2020-11-29 21:25:32,-28.77,114.6,64.4,72,98,13.87
266,Fortuna,US,2020-11-29 21:23:03,40.6,-124.16,60.01,58,38,1.99
267,Denkendorf,DE,2020-11-29 21:25:33,48.7,9.32,32.0,80,75,1.12
268,Turukhansk,RU,2020-11-29 21:25:33,65.82,87.98,-1.25,92,100,12.93
269,Winslow,US,2020-11-29 21:22:45,35.02,-110.7,46.4,42,1,4.7
270,Tuy Hoa,VN,2020-11-29 21:25:34,13.08,109.3,75.2,91,100,17.98
271,Kampot,KH,2020-11-29 21:25:34,10.62,104.18,80.6,69,40,9.17
272,Ketchikan,US,2020-11-29 21:24:57,55.34,-131.65,44.6,100,90,34.45
273,Omsk,RU,2020-11-29 21:25:35,55.0,73.4,3.2,84,75,4.47
274,Longyan,CN,2020-11-29 21:25:36,25.11,117.02,52.77,79,93,3.91
275,Araouane,ML,2020-11-29 21:25:36,18.9,-3.53,73.27,21,66,9.42
276,Palmer,US,2020-11-29 21:24:42,42.16,-72.33,48.99,42,20,4.7
277,Ostrovnoy,RU,2020-11-29 21:25:37,68.05,39.51,28.92,94,100,30.78
278,Tessalit,ML,2020-11-29 21:25:37,20.2,1.01,67.91,24,0,7.81
279,Mount Isa,AU,2020-11-29 21:25:38,-20.73,139.5,84.2,51,0,4.41
280,Woodstock,CA,2020-11-29 21:25:38,43.13,-80.75,46.4,65,100,5.82
281,Lima,PE,2020-11-29 21:25:03,-12.04,-77.03,66.2,82,90,14.99
282,Rio Grande,BR,2020-11-29 21:25:39,-32.03,-52.1,86.0,48,20,9.17
283,Casablanca,MA,2020-11-29 21:24:41,33.59,-7.62,57.2,100,75,5.82
284,West Bay,KY,2020-11-29 21:25:40,19.37,-81.42,84.2,70,20,12.75
285,Mutis,CO,2020-11-29 21:25:40,6.23,-77.4,80.69,82,84,7.18
286,Mahebourg,MU,2020-11-29 21:25:41,-20.41,57.7,75.2,88,75,6.93
287,Eau Claire,US,2020-11-29 21:25:25,44.81,-91.5,35.6,47,90,12.75
288,Terrenate,MX,2020-11-29 21:25:42,19.48,-97.92,75.2,27,5,14.99
289,Rudbar,AF,2020-11-29 21:25:42,30.15,62.6,54.59,41,86,2.21
290,Fairbanks,US,2020-11-29 21:24:02,64.84,-147.72,8.01,77,40,1.72
291,Morgan City,US,2020-11-29 21:25:43,29.7,-91.21,62.6,93,90,10.29
292,Talnakh,RU,2020-11-29 21:25:43,69.49,88.4,6.8,84,90,26.84
293,Maneadero,MX,2020-11-29 21:25:43,31.72,-116.57,66.0,61,0,5.01
294,Harper,LR,2020-11-29 21:25:44,4.38,-7.72,79.07,83,81,4.56
295,Gallup,US,2020-11-29 21:25:44,35.53,-108.74,50.0,27,1,3.6
296,Cabo San Lucas,MX,2020-11-29 21:25:18,22.89,-109.91,78.01,64,5,9.17
297,Kuandian,CN,2020-11-29 21:25:45,40.73,124.78,19.17,81,0,2.89
298,Valmiera,LV,2020-11-29 21:25:45,57.54,25.43,32.0,92,95,5.01
299,Bathsheba,BB,2020-11-29 21:25:45,13.22,-59.52,82.4,78,40,16.11
300,Shieli,KZ,2020-11-29 21:25:46,44.17,66.75,21.92,90,0,12.77
301,Umm Lajj,SA,2020-11-29 21:25:46,25.02,37.27,72.73,49,0,13.02
302,Salym,RU,2020-11-29 21:25:47,60.06,71.48,4.46,93,0,3.76
303,Korla,CN,2020-11-29 21:25:47,41.76,86.15,25.95,91,84,4.76
304,Wilmington,US,2020-11-29 21:23:01,34.23,-77.94,64.4,72,75,8.05
305,Tura,IN,2020-11-29 21:25:47,25.52,90.22,61.05,70,0,3.42
306,Coquimbo,CL,2020-11-29 21:24:01,-29.95,-71.34,64.4,68,0,13.87
